TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x87c48df8,TCPv4,0.0.0.0,58795,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87c804a8,TCPv4,0.0.0.0,58796,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87ca4630,TCPv4,0.0.0.0,58797,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87b0b008,TCPv4,0.0.0.0,58798,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87c40df8,TCPv4,0.0.0.0,58806,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87c21ac0,TCPv4,0.0.0.0,58807,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87ad6c58,TCPv4,0.0.0.0,58808,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87c54b58,TCPv4,0.0.0.0,58809,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87b909f0,TCPv4,0.0.0.0,58810,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87ccedf8,TCPv4,0.0.0.0,58811,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87cdfa88,TCPv4,0.0.0.0,58812,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87aca8f8,TCPv4,0.0.0.0,58815,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87c41cd0,TCPv4,0.0.0.0,58816,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87c9d4b8,TCPv4,0.0.0.0,58817,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87c60658,TCPv4,0.0.0.0,58818,0.0.0.0,0,LISTENING,-,-,N/A
0,0x87c496d0,TCPv4,0.0.0.0,58822,0.0.0.0,0,LISTENING,-,-,N/A
0,0x89634c80,UDPv4,192.168.1.66,137,*,0,,4,System,2013-01-12 16:38:16.000000 
0,0x8963e440,UDPv4,192.168.1.66,138,*,0,,4,System,2013-01-12 16:38:16.000000 
0,0x87aa7588,UDPv6,::1,1900,*,0,,3352,svchost.exe,2013-01-12 16:40:59.000000 
0,0x87b1df50,UDPv4,192.168.1.66,1900,*,0,,3352,svchost.exe,2013-01-12 16:40:59.000000 
0,0x87b83ae0,UDPv4,127.0.0.1,1900,*,0,,3352,svchost.exe,2013-01-12 16:40:59.000000 
0,0x898a5838,UDPv4,0.0.0.0,5355,*,0,,1172,svchost.exe,2013-01-12 16:39:29.000000 
0,0x8a118688,UDPv6,::1,56828,*,0,,3352,svchost.exe,2013-01-12 16:40:59.000000 
0,0x87b4b7a0,UDPv4,192.168.1.66,56829,*,0,,3352,svchost.exe,2013-01-12 16:40:59.000000 
0,0x87b1de98,UDPv4,127.0.0.1,56830,*,0,,3352,svchost.exe,2013-01-12 16:40:59.000000 
0,0x87dca1a0,UDPv4,127.0.0.1,60151,*,0,,3044,iexplore.exe,2013-01-12 16:57:47.000000 

